Date,Close
24/03/2015 16:00:00,31.67
25/03/2015 16:00:00,30.85
26/03/2015 16:00:00,31.06
27/03/2015 16:00:00,30.81
30/03/2015 16:00:00,31.59
31/03/2015 16:00:00,31.11
01/04/2015 16:00:00,31.06
02/04/2015 16:00:00,31.33
06/04/2015 16:00:00,31.84
07/04/2015 16:00:00,31.5
08/04/2015 16:00:00,31.4
09/04/2015 16:00:00,31.64
10/04/2015 16:00:00,31.78
13/04/2015 16:00:00,31.71
14/04/2015 16:00:00,31.58
15/04/2015 16:00:00,31.7
16/04/2015 16:00:00,31.54
17/04/2015 16:00:00,31.19
20/04/2015 16:00:00,31.9
21/04/2015 16:00:00,31.73
22/04/2015 16:00:00,32.16
23/04/2015 16:00:00,32.42
24/04/2015 16:00:00,32.57
27/04/2015 16:00:00,33.16
28/04/2015 16:00:00,32.64
29/04/2015 16:00:00,32.16
30/04/2015 16:00:00,31.29
01/05/2015 16:00:00,32.24
04/05/2015 16:00:00,32.17
05/05/2015 16:00:00,31.45
06/05/2015 16:00:00,31.25
07/05/2015 16:00:00,31.32
08/05/2015 16:00:00,31.91
11/05/2015 16:00:00,31.58
12/05/2015 16:00:00,31.47
13/05/2015 16:00:00,31.5
14/05/2015 16:00:00,32.24
15/05/2015 16:00:00,32.19
18/05/2015 16:00:00,32.55
19/05/2015 16:00:00,32.52
20/05/2015 16:00:00,32.52
21/05/2015 16:00:00,32.85
22/05/2015 16:00:00,33.14
26/05/2015 16:00:00,32.41
27/05/2015 16:00:00,33.01
28/05/2015 16:00:00,32.95
29/05/2015 16:00:00,32.57
01/06/2015 16:00:00,32.63
02/06/2015 16:00:00,32.49
03/06/2015 16:00:00,32.53
04/06/2015 16:00:00,32.34
05/06/2015 16:00:00,32.16
08/06/2015 16:00:00,31.95
09/06/2015 16:00:00,31.86
10/06/2015 16:00:00,32.22
11/06/2015 16:00:00,32.15
12/06/2015 16:00:00,31.79
15/06/2015 16:00:00,31.73
16/06/2015 16:00:00,31.9
17/06/2015 16:00:00,31.83
18/06/2015 16:00:00,31.97
19/06/2015 16:00:00,31.65
22/06/2015 16:00:00,31.9
23/06/2015 16:00:00,31.76
24/06/2015 16:00:00,32.03
25/06/2015 16:00:00,31.88
26/06/2015 16:00:00,31.69
29/06/2015 16:00:00,31.13
30/06/2015 16:00:00,31.36
01/07/2015 16:00:00,31.65
02/07/2015 16:00:00,31.61
06/07/2015 16:00:00,31.5
07/07/2015 16:00:00,31.42
08/07/2015 16:00:00,30.64
09/07/2015 16:00:00,30.02
10/07/2015 16:00:00,30.82
13/07/2015 16:00:00,31.42
14/07/2015 16:00:00,31.4
15/07/2015 16:00:00,31.71
16/07/2015 16:00:00,32.13
17/07/2015 16:00:00,32.41
20/07/2015 16:00:00,33.02
21/07/2015 16:00:00,32.69
22/07/2015 16:00:00,31.31
23/07/2015 16:00:00,31.29
24/07/2015 16:00:00,31.13
27/07/2015 16:00:00,30.69
28/07/2015 16:00:00,30.85
29/07/2015 16:00:00,30.75
30/07/2015 16:00:00,30.59
31/07/2015 16:00:00,30.33
03/08/2015 16:00:00,29.61
04/08/2015 16:00:00,28.66
05/08/2015 16:00:00,28.85
06/08/2015 16:00:00,28.78
07/08/2015 16:00:00,28.88
10/08/2015 16:00:00,29.93
11/08/2015 16:00:00,28.37
12/08/2015 16:00:00,28.81
13/08/2015 16:00:00,28.79
14/08/2015 16:00:00,28.99
17/08/2015 16:00:00,29.29
18/08/2015 16:00:00,29.13
19/08/2015 16:00:00,28.75
20/08/2015 16:00:00,28.16
21/08/2015 16:00:00,26.44
24/08/2015 16:00:00,25.78
25/08/2015 16:00:00,25.94
26/08/2015 16:00:00,27.42
27/08/2015 16:00:00,28.23
28/08/2015 16:00:00,28.32
31/08/2015 16:00:00,28.19
01/09/2015 16:00:00,26.93
02/09/2015 16:00:00,28.09
03/09/2015 16:00:00,27.59
04/09/2015 16:00:00,27.32
08/09/2015 16:00:00,28.08
09/09/2015 16:00:00,27.54
10/09/2015 16:00:00,28.14
11/09/2015 16:00:00,28.55
14/09/2015 16:00:00,28.83
15/09/2015 16:00:00,29.07
16/09/2015 16:00:00,29.1
17/09/2015 16:00:00,28.48
18/09/2015 16:00:00,28.36
21/09/2015 16:00:00,28.8
22/09/2015 16:00:00,28.35
23/09/2015 16:00:00,28.58
24/09/2015 16:00:00,28.75
25/09/2015 16:00:00,28.68
28/09/2015 16:00:00,28.11
29/09/2015 16:00:00,27.27
30/09/2015 16:00:00,27.58
01/10/2015 16:00:00,27.4
02/10/2015 16:00:00,27.6
05/10/2015 16:00:00,27.7
06/10/2015 16:00:00,27.83
07/10/2015 16:00:00,27.7
08/10/2015 16:00:00,27.38
09/10/2015 16:00:00,28.03
12/10/2015 16:00:00,27.9
13/10/2015 16:00:00,27.95
14/10/2015 16:00:00,27.55
15/10/2015 16:00:00,27.97
16/10/2015 16:00:00,27.76
19/10/2015 16:00:00,27.93
20/10/2015 16:00:00,28.44
21/10/2015 16:00:00,28.44
22/10/2015 16:00:00,28.88
23/10/2015 16:00:00,29.77
26/10/2015 16:00:00,28.82
27/10/2015 16:00:00,28.64
28/10/2015 16:00:00,29.82
29/10/2015 16:00:00,30.13
30/10/2015 16:00:00,29.88
02/11/2015 16:00:00,30.3
03/11/2015 16:00:00,30.64
04/11/2015 16:00:00,30.5
05/11/2015 16:00:00,30.23
06/11/2015 16:00:00,30.27
09/11/2015 16:00:00,30.14
10/11/2015 16:00:00,29.19
11/11/2015 16:00:00,29.03
12/11/2015 16:00:00,28.93
13/11/2015 16:00:00,28.09
16/11/2015 16:00:00,28.54
17/11/2015 16:00:00,28.42
18/11/2015 16:00:00,29.32
19/11/2015 16:00:00,29.7
20/11/2015 16:00:00,29.83
23/11/2015 16:00:00,29.44
24/11/2015 16:00:00,29.72
25/11/2015 16:00:00,29.51
27/11/2015 16:00:00,29.45
30/11/2015 16:00:00,29.58
01/12/2015 16:00:00,29.34
02/12/2015 16:00:00,29.07
03/12/2015 16:00:00,28.8
04/12/2015 16:00:00,29.76
07/12/2015 16:00:00,29.57
08/12/2015 16:00:00,29.56
09/12/2015 16:00:00,28.91
10/12/2015 16:00:00,29.04
11/12/2015 16:00:00,28.3
14/12/2015 16:00:00,28.12
15/12/2015 16:00:00,27.62
16/12/2015 16:00:00,27.84
17/12/2015 16:00:00,27.25
18/12/2015 16:00:00,26.51
21/12/2015 16:00:00,26.83
22/12/2015 16:00:00,26.81
23/12/2015 16:00:00,27.15
24/12/2015 16:00:00,27.01
28/12/2015 16:00:00,26.71
29/12/2015 16:00:00,27.19
30/12/2015 16:00:00,26.83
31/12/2015 16:00:00,26.32
04/01/2016 16:00:00,26.34
05/01/2016 16:00:00,25.68
06/01/2016 16:00:00,25.18
07/01/2016 16:00:00,24.11
08/01/2016 16:00:00,24.24
11/01/2016 16:00:00,24.63
12/01/2016 16:00:00,24.99
13/01/2016 16:00:00,24.35
14/01/2016 16:00:00,24.88
15/01/2016 16:00:00,24.28
19/01/2016 16:00:00,24.17
20/01/2016 16:00:00,24.2
21/01/2016 16:00:00,24.08
22/01/2016 16:00:00,25.36
25/01/2016 16:00:00,24.86
26/01/2016 16:00:00,25
27/01/2016 16:00:00,23.36
28/01/2016 16:00:00,23.52
29/01/2016 16:00:00,24.34
01/02/2016 16:00:00,24.11
02/02/2016 16:00:00,23.62
03/02/2016 16:00:00,24.09
04/02/2016 16:00:00,24.15
05/02/2016 16:00:00,23.51
08/02/2016 16:00:00,23.75
09/02/2016 16:00:00,23.75
10/02/2016 16:00:00,23.57
11/02/2016 16:00:00,23.43
12/02/2016 16:00:00,23.5
16/02/2016 16:00:00,24.16
17/02/2016 16:00:00,24.53
18/02/2016 16:00:00,24.07
19/02/2016 16:00:00,24.01
22/02/2016 16:00:00,24.22
23/02/2016 16:00:00,23.67
24/02/2016 16:00:00,24.03
25/02/2016 16:00:00,24.19
26/02/2016 16:00:00,24.23
29/02/2016 16:00:00,24.17
01/03/2016 16:00:00,25.13
02/03/2016 16:00:00,25.19
03/03/2016 16:00:00,25.38
04/03/2016 16:00:00,25.75
07/03/2016 16:00:00,25.47
08/03/2016 16:00:00,25.26
09/03/2016 16:00:00,25.28
10/03/2016 16:00:00,25.29
11/03/2016 16:00:00,25.57
14/03/2016 16:00:00,25.63
15/03/2016 16:00:00,26.15
16/03/2016 16:00:00,26.49
17/03/2016 16:00:00,26.45
18/03/2016 16:00:00,26.48
21/03/2016 16:00:00,26.48
22/03/2016 16:00:00,26.68
23/03/2016 16:00:00,26.53
24/03/2016 16:00:00,26.42
28/03/2016 16:00:00,26.3
29/03/2016 16:00:00,26.92
30/03/2016 16:00:00,27.39
31/03/2016 16:00:00,27.25
01/04/2016 16:00:00,27.5
04/04/2016 16:00:00,27.78
05/04/2016 16:00:00,27.45
06/04/2016 16:00:00,27.74
07/04/2016 16:00:00,27.14
08/04/2016 16:00:00,27.17
11/04/2016 16:00:00,27.26
12/04/2016 16:00:00,27.61
13/04/2016 16:00:00,28.01
14/04/2016 16:00:00,28.03
15/04/2016 16:00:00,27.46
18/04/2016 16:00:00,26.87
19/04/2016 16:00:00,26.73
20/04/2016 16:00:00,26.78
21/04/2016 16:00:00,26.49
22/04/2016 16:00:00,26.42
25/04/2016 16:00:00,26.27
26/04/2016 16:00:00,26.09
27/04/2016 16:00:00,24.46
28/04/2016 16:00:00,23.71
29/04/2016 16:00:00,23.44
02/05/2016 16:00:00,23.41
03/05/2016 16:00:00,23.8
04/05/2016 16:00:00,23.55
05/05/2016 16:00:00,23.31
06/05/2016 16:00:00,23.18
09/05/2016 16:00:00,23.2
10/05/2016 16:00:00,23.36
11/05/2016 16:00:00,23.13
12/05/2016 16:00:00,22.59
13/05/2016 16:00:00,22.63
16/05/2016 16:00:00,23.47
17/05/2016 16:00:00,23.37
18/05/2016 16:00:00,23.64
19/05/2016 16:00:00,23.55
20/05/2016 16:00:00,23.81
23/05/2016 16:00:00,24.11
24/05/2016 16:00:00,24.48
25/05/2016 16:00:00,24.91
26/05/2016 16:00:00,25.1
27/05/2016 16:00:00,25.09
31/05/2016 16:00:00,24.97
01/06/2016 16:00:00,24.62
02/06/2016 16:00:00,24.43
03/06/2016 16:00:00,24.48
06/06/2016 16:00:00,24.66
07/06/2016 16:00:00,24.76
08/06/2016 16:00:00,24.74
09/06/2016 16:00:00,24.91
10/06/2016 16:00:00,24.71
13/06/2016 16:00:00,24.34
14/06/2016 16:00:00,24.37
15/06/2016 16:00:00,24.29
16/06/2016 16:00:00,24.39
17/06/2016 16:00:00,23.83
20/06/2016 16:00:00,23.78
21/06/2016 16:00:00,23.98
22/06/2016 16:00:00,23.89
23/06/2016 16:00:00,24.03
24/06/2016 16:00:00,23.35
27/06/2016 16:00:00,23.01
28/06/2016 16:00:00,23.4
29/06/2016 16:00:00,23.6
30/06/2016 16:00:00,23.9
01/07/2016 16:00:00,23.97
05/07/2016 16:00:00,23.75
06/07/2016 16:00:00,23.88
07/07/2016 16:00:00,23.99
08/07/2016 16:00:00,24.17
11/07/2016 16:00:00,24.25
12/07/2016 16:00:00,24.36
13/07/2016 16:00:00,24.22
14/07/2016 16:00:00,24.7
15/07/2016 16:00:00,24.7
18/07/2016 16:00:00,24.96
19/07/2016 16:00:00,24.97
20/07/2016 16:00:00,24.99
21/07/2016 16:00:00,24.86
22/07/2016 16:00:00,24.67
25/07/2016 16:00:00,24.34
26/07/2016 16:00:00,24.17
27/07/2016 16:00:00,25.74
28/07/2016 16:00:00,26.09
29/07/2016 16:00:00,26.05
01/08/2016 16:00:00,26.51
02/08/2016 16:00:00,26.12
03/08/2016 16:00:00,26.45
04/08/2016 16:00:00,26.47
05/08/2016 16:00:00,26.87
08/08/2016 16:00:00,27.09
09/08/2016 16:00:00,27.2
10/08/2016 16:00:00,27
11/08/2016 16:00:00,26.98
12/08/2016 16:00:00,27.05
15/08/2016 16:00:00,27.37
16/08/2016 16:00:00,27.35
17/08/2016 16:00:00,27.31
18/08/2016 16:00:00,27.27
19/08/2016 16:00:00,27.34
22/08/2016 16:00:00,27.13
23/08/2016 16:00:00,27.21
24/08/2016 16:00:00,27.01
25/08/2016 16:00:00,26.89
26/08/2016 16:00:00,26.74
29/08/2016 16:00:00,26.71
30/08/2016 16:00:00,26.5
31/08/2016 16:00:00,26.53
01/09/2016 16:00:00,26.68
02/09/2016 16:00:00,26.93
06/09/2016 16:00:00,26.93
07/09/2016 16:00:00,27.09
08/09/2016 16:00:00,26.38
09/09/2016 16:00:00,25.78
12/09/2016 16:00:00,26.36
13/09/2016 16:00:00,26.99
14/09/2016 16:00:00,27.94
15/09/2016 16:00:00,28.89
16/09/2016 16:00:00,28.73
19/09/2016 16:00:00,28.4
20/09/2016 16:00:00,28.39
21/09/2016 16:00:00,28.39
22/09/2016 16:00:00,28.66
23/09/2016 16:00:00,28.18
26/09/2016 16:00:00,28.22
27/09/2016 16:00:00,28.27
28/09/2016 16:00:00,28.49
29/09/2016 16:00:00,28.05
30/09/2016 16:00:00,28.26
03/10/2016 16:00:00,28.13
04/10/2016 16:00:00,28.25
05/10/2016 16:00:00,28.26
06/10/2016 16:00:00,28.47
07/10/2016 16:00:00,28.52
10/10/2016 16:00:00,29.01
11/10/2016 16:00:00,29.08
12/10/2016 16:00:00,29.34
13/10/2016 16:00:00,29.25
14/10/2016 16:00:00,29.41
17/10/2016 16:00:00,29.39
18/10/2016 16:00:00,29.37
19/10/2016 16:00:00,29.28
20/10/2016 16:00:00,29.27
21/10/2016 16:00:00,29.15
24/10/2016 16:00:00,29.41
25/10/2016 16:00:00,29.56
26/10/2016 16:00:00,28.9
27/10/2016 16:00:00,28.62
28/10/2016 16:00:00,28.43
31/10/2016 16:00:00,28.39
01/11/2016 16:00:00,27.87
02/11/2016 16:00:00,27.9
03/11/2016 16:00:00,27.46
04/11/2016 16:00:00,27.21
07/11/2016 16:00:00,27.6
08/11/2016 16:00:00,27.77
09/11/2016 16:00:00,27.72
10/11/2016 16:00:00,26.95
11/11/2016 16:00:00,27.11
14/11/2016 16:00:00,26.43
15/11/2016 16:00:00,26.78
16/11/2016 16:00:00,27.5
17/11/2016 16:00:00,27.49
18/11/2016 16:00:00,27.52
21/11/2016 16:00:00,27.93
22/11/2016 16:00:00,27.95
23/11/2016 16:00:00,27.81
25/11/2016 16:00:00,27.95
28/11/2016 16:00:00,27.89
29/11/2016 16:00:00,27.87
30/11/2016 16:00:00,27.63
01/12/2016 16:00:00,27.37
02/12/2016 16:00:00,27.48
05/12/2016 16:00:00,27.28
06/12/2016 16:00:00,27.49
07/12/2016 16:00:00,27.76
08/12/2016 16:00:00,28.03
09/12/2016 16:00:00,28.49
12/12/2016 16:00:00,28.33
13/12/2016 16:00:00,28.8
14/12/2016 16:00:00,28.8
15/12/2016 16:00:00,28.96
16/12/2016 16:00:00,28.99
19/12/2016 16:00:00,29.16
20/12/2016 16:00:00,29.24
21/12/2016 16:00:00,29.27
22/12/2016 16:00:00,29.07
23/12/2016 16:00:00,29.13
27/12/2016 16:00:00,29.32
28/12/2016 16:00:00,29.19
29/12/2016 16:00:00,29.18
30/12/2016 16:00:00,28.96
03/01/2017 16:00:00,29.04
04/01/2017 16:00:00,29.01
05/01/2017 16:00:00,29.15
06/01/2017 16:00:00,29.48
09/01/2017 16:00:00,29.75
10/01/2017 16:00:00,29.78
11/01/2017 16:00:00,29.94
12/01/2017 16:00:00,29.81
13/01/2017 16:00:00,29.76
17/01/2017 16:00:00,30
18/01/2017 16:00:00,30
19/01/2017 16:00:00,29.95
20/01/2017 16:00:00,30
23/01/2017 16:00:00,30.02
24/01/2017 16:00:00,29.99
25/01/2017 16:00:00,30.47
26/01/2017 16:00:00,30.49
27/01/2017 16:00:00,30.49
30/01/2017 16:00:00,30.41
31/01/2017 16:00:00,30.34
01/02/2017 16:00:00,32.19
02/02/2017 16:00:00,32.13
03/02/2017 16:00:00,32.27
06/02/2017 16:00:00,32.57
07/02/2017 16:00:00,32.88
08/02/2017 16:00:00,33.01
09/02/2017 16:00:00,33.1
10/02/2017 16:00:00,33.03
13/02/2017 16:00:00,33.32
14/02/2017 16:00:00,33.76
15/02/2017 16:00:00,33.88
16/02/2017 16:00:00,33.84
17/02/2017 16:00:00,33.93
21/02/2017 16:00:00,34.17
22/02/2017 16:00:00,34.28
23/02/2017 16:00:00,34.13
24/02/2017 16:00:00,34.17
27/02/2017 16:00:00,34.23
28/02/2017 16:00:00,34.25
01/03/2017 16:00:00,34.95
02/03/2017 16:00:00,34.74
03/03/2017 16:00:00,34.95
06/03/2017 16:00:00,34.84
07/03/2017 16:00:00,34.88
08/03/2017 16:00:00,34.75
09/03/2017 16:00:00,34.67
10/03/2017 16:00:00,34.78
13/03/2017 16:00:00,34.8
14/03/2017 16:00:00,34.75
15/03/2017 16:00:00,35.12
16/03/2017 16:00:00,35.17
17/03/2017 16:00:00,35
20/03/2017 16:00:00,35.37
21/03/2017 16:00:00,34.96
22/03/2017 16:00:00,35.35
23/03/2017 16:00:00,35.23
24/03/2017 16:00:00,35.16
27/03/2017 16:00:00,35.22
28/03/2017 16:00:00,35.95
29/03/2017 16:00:00,36.03
30/03/2017 16:00:00,35.98
31/03/2017 16:00:00,35.92
03/04/2017 16:00:00,35.92
04/04/2017 16:00:00,36.19
05/04/2017 16:00:00,36.01
06/04/2017 16:00:00,35.92
07/04/2017 16:00:00,35.84
10/04/2017 16:00:00,35.79
11/04/2017 16:00:00,35.41
12/04/2017 16:00:00,35.45
13/04/2017 16:00:00,35.26
17/04/2017 16:00:00,35.46
18/04/2017 16:00:00,35.3
19/04/2017 16:00:00,35.17
20/04/2017 16:00:00,35.61
21/04/2017 16:00:00,35.57
24/04/2017 16:00:00,35.91
25/04/2017 16:00:00,36.13
26/04/2017 16:00:00,35.92
27/04/2017 16:00:00,35.95
28/04/2017 16:00:00,35.91
01/05/2017 16:00:00,36.65
02/05/2017 16:00:00,36.88
03/05/2017 16:00:00,36.77
04/05/2017 16:00:00,36.63
05/05/2017 16:00:00,37.24
08/05/2017 16:00:00,38.25
09/05/2017 16:00:00,38.5
10/05/2017 16:00:00,38.32
11/05/2017 16:00:00,38.49
12/05/2017 16:00:00,39.03
15/05/2017 16:00:00,38.92
16/05/2017 16:00:00,38.87
17/05/2017 16:00:00,37.56
18/05/2017 16:00:00,38.14
19/05/2017 16:00:00,38.27
22/05/2017 16:00:00,38.5
23/05/2017 16:00:00,38.45
24/05/2017 16:00:00,38.34
25/05/2017 16:00:00,38.47
26/05/2017 16:00:00,38.4
30/05/2017 16:00:00,38.42
31/05/2017 16:00:00,38.19
01/06/2017 16:00:00,38.3
02/06/2017 16:00:00,38.86
05/06/2017 16:00:00,38.48
06/06/2017 16:00:00,38.61
07/06/2017 16:00:00,38.84
08/06/2017 16:00:00,38.75
09/06/2017 16:00:00,37.24
12/06/2017 16:00:00,36.35
13/06/2017 16:00:00,36.65
14/06/2017 16:00:00,36.29
15/06/2017 16:00:00,36.07
16/06/2017 16:00:00,35.57
19/06/2017 16:00:00,36.59
20/06/2017 16:00:00,36.25
21/06/2017 16:00:00,36.47
22/06/2017 16:00:00,36.41
23/06/2017 16:00:00,36.57
26/06/2017 16:00:00,36.46
27/06/2017 16:00:00,35.93
28/06/2017 16:00:00,36.46
29/06/2017 16:00:00,35.92
30/06/2017 16:00:00,36.01
03/07/2017 16:00:00,35.88
05/07/2017 16:00:00,36.02
06/07/2017 16:00:00,35.68
07/07/2017 16:00:00,36.05
10/07/2017 16:00:00,36.27
11/07/2017 16:00:00,36.38
12/07/2017 16:00:00,36.44
13/07/2017 16:00:00,36.94
14/07/2017 16:00:00,37.26
17/07/2017 16:00:00,37.39
18/07/2017 16:00:00,37.52
19/07/2017 16:00:00,37.76
20/07/2017 16:00:00,37.59
21/07/2017 16:00:00,37.57
24/07/2017 16:00:00,38.02
25/07/2017 16:00:00,38.19
26/07/2017 16:00:00,38.37
27/07/2017 16:00:00,37.64
28/07/2017 16:00:00,37.38
31/07/2017 16:00:00,37.18
01/08/2017 16:00:00,37.51
02/08/2017 16:00:00,39.28
03/08/2017 16:00:00,38.89
04/08/2017 16:00:00,39.1
07/08/2017 16:00:00,39.7
08/08/2017 16:00:00,40.02
09/08/2017 16:00:00,40.27
10/08/2017 16:00:00,38.83
11/08/2017 16:00:00,39.37
14/08/2017 16:00:00,39.96
15/08/2017 16:00:00,40.4
16/08/2017 16:00:00,40.24
17/08/2017 16:00:00,39.47
18/08/2017 16:00:00,39.38
21/08/2017 16:00:00,39.3
22/08/2017 16:00:00,39.95
23/08/2017 16:00:00,39.99
24/08/2017 16:00:00,39.82
25/08/2017 16:00:00,39.97
28/08/2017 16:00:00,40.37
29/08/2017 16:00:00,40.73
30/08/2017 16:00:00,40.84
31/08/2017 16:00:00,41
01/09/2017 16:00:00,41.01
05/09/2017 16:00:00,40.52
06/09/2017 16:00:00,40.48
07/09/2017 16:00:00,40.32
08/09/2017 16:00:00,39.66
11/09/2017 16:00:00,40.38
12/09/2017 16:00:00,40.22
13/09/2017 16:00:00,39.91
14/09/2017 16:00:00,39.57
15/09/2017 16:00:00,39.97
18/09/2017 16:00:00,39.67
19/09/2017 16:00:00,39.68
20/09/2017 16:00:00,39.02
21/09/2017 16:00:00,38.35
22/09/2017 16:00:00,37.97
25/09/2017 16:00:00,37.64
26/09/2017 16:00:00,38.28
27/09/2017 16:00:00,38.56
28/09/2017 16:00:00,38.32
29/09/2017 16:00:00,38.53
02/10/2017 16:00:00,38.45
03/10/2017 16:00:00,38.62
04/10/2017 16:00:00,38.37
05/10/2017 16:00:00,38.85
06/10/2017 16:00:00,38.83
09/10/2017 16:00:00,38.96
10/10/2017 16:00:00,38.98
11/10/2017 16:00:00,39.14
12/10/2017 16:00:00,39
13/10/2017 16:00:00,39.25
16/10/2017 16:00:00,39.97
17/10/2017 16:00:00,40.12
18/10/2017 16:00:00,39.94
19/10/2017 16:00:00,38.99
20/10/2017 16:00:00,39.06
23/10/2017 16:00:00,39.04
24/10/2017 16:00:00,39.28
25/10/2017 16:00:00,39.1
26/10/2017 16:00:00,39.35
27/10/2017 16:00:00,40.76
30/10/2017 16:00:00,41.68
31/10/2017 16:00:00,42.26
01/11/2017 16:00:00,41.72
02/11/2017 16:00:00,42.03
03/11/2017 16:00:00,43.13
06/11/2017 16:00:00,43.56
07/11/2017 16:00:00,43.7
08/11/2017 16:00:00,44.06
09/11/2017 16:00:00,43.97
10/11/2017 16:00:00,43.67
13/11/2017 16:00:00,43.49
14/11/2017 16:00:00,42.84
15/11/2017 16:00:00,42.27
16/11/2017 16:00:00,42.78
17/11/2017 16:00:00,42.54
20/11/2017 16:00:00,42.5
21/11/2017 16:00:00,43.29
22/11/2017 16:00:00,43.74
24/11/2017 13:00:00,43.74
27/11/2017 16:00:00,43.52
28/11/2017 16:00:00,43.27
29/11/2017 16:00:00,42.37
30/11/2017 16:00:00,42.96
01/12/2017 16:00:00,42.76
04/12/2017 16:00:00,42.45
05/12/2017 16:00:00,42.41
06/12/2017 16:00:00,42.25
07/12/2017 16:00:00,42.33
08/12/2017 16:00:00,42.34
11/12/2017 16:00:00,43.17
